desc,create_time,author_user_id,music_author,music_title,music_create_time,music_duration,music_id,collect_count,comment_count,digg_count,forward_count,play_count,share_count,video_url
怎样才叫无与伦比的享受，喏，浓厚馥郁的咖喱，Q弹有嚼劲的面条，小口吃，大口吃，都超爽无比！Maggi Kari，解馋又开胃，我随时常备 ,1740632759,7358676015813723137,MAGGI Malaysia,original sound - maggimalaysia,1740632771.0,35.0,7475960816773204737,4497.0,1327.0,61000.0,0.0,17609435.0,3477.0,https://www.tiktok.com/@mnm_pipi/video/7475960754756160776
Perlindungan penuh UV dan Cahaya Biru☀️ Lindungi kulit anda sepenuhnya daripada UV + cahaya biru! Eucerin Spotless Brightening Sun Serum SPF50+ PA++++ dengan Thiamidol mencegah dan mengurangkan bintik matahari - diuji secara dermatologi. ✨ #MyEucerin #Thiamidol #EucerinSunSerum #Eucerinsunprotection #sunscreen #SPF #dailySPF,1744099230,7024016574178001921,Eucerin Malaysia,original sound - eucerinmalaysia,1744099233.0,6.0,7490849159571098385,799.0,25.0,5124.0,0.0,21497984.0,491.0,https://www.tiktok.com/@mnm_pipi/video/7490849125387275538
the BIGGEST BONANZA dah sampai! korang takkan nak miss again? Plus pulak with our 60 varieties this round! Come cepat now from 20 - 23 May 2025. #SushiKingMY #SushiKing #BIGGESTBonanza #30thAnniversary ,1747385917,7215442304009372678,Sushi King Malaysia,original sound - sushikingmalaysia,1747385920.0,10.0,7504965373843081985,3324.0,855.0,43454.0,0.0,15258561.0,16768.0,https://www.tiktok.com/@mnm_pipi/video/7504965356025302290
"This is my go-to shower ritual with Herbal Essences Argan Oil .  Not only does it make my hair soft and shiny, but it also leaves me feeling absolutely amazing with real plant essence.  Free from parabens, paraffins, and colourant. You should give it a try and get yours at @watson store.  #HerbalEssencesMY #WatsonsMY #Hairtok  #HairTransformation #GlassHair #AD",1731758496,6779430306170602497,NOPPO MUSIC,A warm piano instrumental ballad(808701),1592418041.0,204.0,6839383378953766913,2527.0,55.0,27687.0,0.0,20423971.0,883.0,https://www.tiktok.com/@mnm_pipi/video/7437746696089586951
✨ Introducing the HONOR 400 Series! Next-Gen AI Imaging is set to revolutionize your creative journey! 📸 #HONOR #HONORMalaysia #NextGenAIImaging #HONOR400Series,1746669600,6546060214817882113,HONOR Malaysia,original sound - honormalaysia,1746632770.0,20.0,7501730619250789136,1148.0,523.0,14905.0,0.0,15663223.0,1091.0,https://www.tiktok.com/@mnm_pipi/video/7501730559501077778
"Baru first day kerja, #BossMekdi dah kena test. The hustle is real tapi boss tetap steady. 💪",1747735200,6604971159769366529,McDonald's Malaysia,original sound - mcdmalaysia,1747712912.0,88.0,7506369794268433153,3303.0,420.0,28372.0,0.0,16316071.0,1125.0,https://www.tiktok.com/@mnm_pipi/video/7506369723781614856
"Ubat Gigi Colgate® Total Active Prevention yang baharu, membantu mencegah 8 punca utama masalah kesihatan mulut - Masalah Gusi, Plak, Karang Gigi, Sensitiviti, Hakisan Enamel, Noda Gigi^, Nafas Berbau, dan Kaviti. Teknologi Pencegahan yang Canggih dan Dipatenkan ini terbukti secara klinikal untuk melawan bakteria selama 24 jam*, memberikan perlindungan antibakteria berpanjangan untuk mencegah masalah penjagaan mulut sebelum ia terjadi. *berus gigi 2x sehari dengan penggunaan berterusan selama 4 minggu ^noda gigi ekstrinsik #colgatetotal #activeprevention #24hr ",1744903777,6907271907860644866,Colgate_Malaysia,original sound - colgate_malaysia,1744903783.0,6.0,7494304679057509121,660.0,10.0,4727.0,0.0,17804385.0,659.0,https://www.tiktok.com/@mnm_pipi/video/7494304596064587009
,,,,,,,,,,,,,,https://www.tiktok.com/@mnm_pipi/video/7506430266894781703
"Yayasan Tenaga Nasional (YTN) kini menawarkan peluang terbaik untuk anda melanjutkan pengajian di universiti terkemuka luar negara atau di Universiti Tenaga Nasional (UNITEN).  Jika anda bercita-cita besar dan mahu membina masa depan yang cerah, inilah masanya. Antara bidang pengajian yang ditawarkan: ⚡Kejuruteraan Elektrik Kuasa, Mekanikal, Kimia & Awam   ⚡Tenaga Boleh Baharu / Alam Sekitar   ⚡Sains Komputer, Data Science & Analytics, Cyber Security   ⚡Perakaunan, Kewangan, Energy Economics & International Business 📅 Tarikh permohonan: 24 April – 8 Mei 2025   🔗 Mohon sekarang di: https://ytn.tnb.com.my Jangan lepaskan peluang keemasan ini. Langkah pertama menuju masa depan #BetterBrighter bermula di sini!   #BiasiswaPRIME",1745478983,6966833519659320322,"Queens Road, Fabian Graetz",FEEL THE GROOVE,1576041351.0,112.0,6769046027488987137,3284.0,1261.0,33200.0,0.0,25304232.0,2342.0,https://www.tiktok.com/@mnm_pipi/video/7496775127581969672
,,,,,,,,,,,,,,https://www.tiktok.com/@mnm_pipi/video/7504659785048984839
"Hehe love doing this with my husband! ❤️ We tried and been loving the new POND’S SKIN INSTITUTE’s Bright Miracle Ultimate Clarity Serum. Powered by NIASORCINOL, this serum works to brighten the skin, fading dark spots in just 3 days! ✨ And yes, even my husband is on board now 😆 If you’re struggling with dark spots and dull skin, this is THE ONE to add to your skincare routine!  #MiraclesHappen #PondsMalaysia #Niasorcinol @Watsons Malaysia @POND’s Malaysia ",1744888780,7102675371501601794,ゆう@JPN,Cute pops with a girly atmosphere(839183),1594883437.0,151.0,6849972178490755074,1973.0,95.0,32718.0,0.0,12872533.0,740.0,https://www.tiktok.com/@mnm_pipi/video/7494240040319585553
